id,fg_did,Business_Name,street1,city,state,zipcode
660641,8312751868,Liberty Mutual,1156 California 68,Pacific Grove,CA,93950
660639,9036308018,Liberty Mutual,311 22nd St,Canyon,TX,79015
660637,4406527317,Liberty Mutual,27211 W Oviatt Rd,Bay Village,OH,44140
660635,5402520702,Liberty Mutual,52 S Royal Ave,Front Royal,VA,22630
660633,3147647369,Liberty Mutual,8790 Jennings Station Rd,Jennings,MO,63136
660631,7012899009,Liberty Mutual,210 2nd St NW,Jamestown,ND,58401
660629,2055780875,Liberty Mutual,4692 Hwy 17,Helena,AL,35080
660627,8503124286,Liberty Mutual,15032 Front Beach Rd,Panama City Beach,FL,32413
660625,2015524019,Liberty Mutual,42 Washington St,Tenafly,NJ,7670
660623,6625284093,Liberty Mutual,1210 Fairground Rd,Grenada,MS,38901
660619,5308719128,Liberty Mutual,1851 Oroville Dam Blvd E,Oroville,CA,95966
660617,8478926859,Liberty Mutual,2078 E Grand Ave,Lindenhurst,IL,60046
660615,2015524013,Liberty Mutual,66 Exton Ave,North Arlington,NJ,7031
660613,3345308663,Liberty Mutual,110 S Union Ave,Ozark,AL,36360
660611,9204621519,Liberty Mutual,311 E St Joseph St,Allouez,WI,54301
660609,7028485923,Liberty Mutual,577 Hotel Plaza,Boulder City,NV,89005
660607,6078210436,Liberty Mutual,133 Main St,Johnson City,NY,13790
660605,6055192584,Liberty Mutual,110 S Rowley St,Mitchell,SD,57301
660603,7245036021,Liberty Mutual,12 W Chestnut St,Washington,PA,15301
660599,6095452432,Liberty Mutual,711 13th St,Ocean City,NJ,8226
660601,7245036013,Liberty Mutual,677 Philadelphia St,Indiana,PA,15701
660597,9124214589,Liberty Mutual,511 Pendleton St,Waycross,GA,31501
660595,3182696798,Liberty Mutual,632 U.S. 165 Business,Pineville,LA,71360
660593,3082218104,Liberty Mutual,1810 Avenue A,Scottsbluff,NE,69361
660591,2487218398,Liberty Mutual,2780 Coolidge Hwy,Berkley,MI,48072
660589,7065090525,Liberty Mutual,664 S Wall St,Calhoun,GA,30701
660587,7162457034,Liberty Mutual,32 Main St,Tonawanda,NY,14150
660585,4793202147,Liberty Mutual,810 S Dogwood St,Siloam Springs,AR,72761
660583,4108340058,Liberty Mutual,123 E Main St,Elkton,MD,21921
660579,3365254389,Liberty Mutual,428 SW Market St,Reidsville,NC,27320
660581,7244717439,Liberty Mutual,147 E State St,Sharon,PA,16146
660577,9123779984,Liberty Mutual,12 Louisville Rd,Pooler,GA,31322
660575,9562908854,Liberty Mutual,129 E Main St,Humble,TX,77338
660573,5863430801,Liberty Mutual,16663 E 14 Mile Rd,Fraser,MI,48026
660571,5714298212,Liberty Mutual,131 Maple Ave W,Vienna,VA,22180
660567,3212513491,Liberty Mutual,459 Florida 600,Maitland,FL,32751
660569,4406527264,Liberty Mutual,7627 Smith Rd,Middleburg Heights,OH,44130
660565,3526334721,Liberty Mutual,466 US Highway 27,Lady Lake,FL,32159
660563,5093397762,Liberty Mutual,819 E Edison Ave,Sunnyside,WA,98944
660561,7073045328,Liberty Mutual,727 S State St,Ukiah,CA,95482
660559,9896342554,Liberty Mutual,110 N Washington St,Owosso,MI,48867
660557,8156688555,Liberty Mutual,110 N Kinzie Ave,Bradley,IL,60915
660553,6028992378,Liberty Mutual,5476 E Lincoln Dr,Paradise Valley,AZ,85253
660555,5186872391,Liberty Mutual,37 Fremont St,Gloversville,NY,12078
